Year,Month,Day,Hour,temperature_f,wind_speed_mph,wind_bearing_deg,relative_humidity,visibility_miles_max_10,pressure_mb,Value,more_polluted
2014,1,11,23,32.71,16.93,321,0.25,0.3,1032.1,20,0
2014,1,12,5,23.05,5.9,6,0.25,10,1036.03,12,1
2014,1,12,8,21.22,3.42,339,0.28,9.85,1038.66,33,0
2014,1,12,11,30.09,4.54,329,0.16,10,1039.25,10,1
2014,1,12,14,35.14,2.35,70,0.12,10,1036.12,12,1
2014,1,12,17,33.24,2.86,250,0.13,10,1035.73,40,0
2014,1,12,20,22.55,1.43,191,0.31,5.25,1035.99,56,0
2014,1,12,23,19.05,0.97,48,0.4,4.47,1035.2,57,0
2014,1,13,2,14.5,2.13,343,0.47,4.86,1034.84,110,1
2014,1,13,5,12.57,1.17,197,0.55,4.92,1033.87,84,0
2014,1,13,8,14.82,0.72,43,0.58,5.16,1034.25,120,1
2014,1,13,11,28.23,0.98,135,0.31,4.13,1033.4,106,1
2014,1,13,14,35.62,1.67,206,0.19,5.33,1030.18,63,0
2014,1,13,17,29.48,0.65,68,0.29,5.08,1030.03,119,1
2014,1,13,20,21.72,1.44,45,0.46,4.51,1031.71,177,1
2014,1,13,23,19.23,1.77,20,0.51,2.32,1032.6,250,0
2014,1,14,2,14.13,6.18,353,0.49,4.62,1033.97,123,1
2014,1,14,5,15.43,2.42,45,0.52,5.32,1034.68,59,0
2014,1,14,8,15.97,3.33,16,0.58,3.83,1035.95,180,1
2014,1,14,11,28.89,0.37,172,0.31,4.14,1036.44,168,1
2014,1,14,14,35.17,2.39,235,0.22,4.96,1033.75,111,1
2014,1,14,17,32.56,6.6,206,0.29,5.72,1033.77,94,0
2014,1,14,20,24.85,1.46,222,0.45,4.05,1034.62,93,0
2014,1,14,23,19.23,2.04,151,0.67,2.81,1034.2,123,1
2014,1,15,2,14.5,2.49,17,0.59,3.35,1034.42,213,0
2014,1,15,5,14.83,0.96,90,0.72,4.75,1033.54,103,1
2014,1,15,8,17.74,4.88,318,0.72,3.12,1034.11,67,0
2014,1,15,11,31.14,1.81,1,0.31,5.42,1033.84,55,0
2014,1,15,14,39.12,1.37,152,0.23,8.21,1029.8,48,0
2014,1,15,17,33.33,3.18,155,0.28,2.95,1029.33,279,0
2014,1,15,20,28.63,1.97,192,0.5,3.22,1029.43,513,0
2014,1,15,23,26.77,3.65,83,0.58,2.23,1028.8,569,0
2014,1,16,2,25.45,2.58,19,0.68,2.34,1027.54,651,0
2014,1,16,5,24.77,1.96,64,0.69,2.16,1026.7,618,0
2014,1,16,8,21.83,2.76,6,0.74,2.1,1028.27,479,0
2014,1,16,11,33.36,5.8,5,0.41,2.17,1028.74,457,0
2014,1,16,14,38.43,3.69,68,0.35,3.22,1026.92,286,0
2014,1,16,17,34.75,1,179,0.47,3.41,1028.36,332,0
2014,1,16,20,29.18,2.04,147,0.69,1.88,1030.54,422,0
2014,1,16,23,29.65,4.76,125,0.81,1.09,1031.4,351,0
2014,1,17,2,25.59,6.19,149,0.77,2.9,1031.52,250,0
2014,1,17,5,24.63,10.02,156,0.61,5.33,1031.41,79,0
2014,1,17,8,24.73,1.93,123,0.6,4.99,1032.43,77,0
2014,1,17,11,31.65,2.11,251,0.47,5.96,1033.19,115,1
2014,1,17,14,38.14,6.52,312,0.3,5.58,1030.83,13,1
2014,1,17,17,36.47,9.61,287,0.22,3.69,1031.48,195,0
2014,1,17,20,34.18,9.48,280,0.27,2.86,1032.95,384,0
2014,1,17,23,35.3,6.63,324,0.21,0.91,1033,38,0
2014,1,18,2,27.63,7.2,309,0.78,2.32,1033.84,20,0
